customer_id,policy_id,purchase_id
0001,643cee8e,0c16ed33
0002,ce8819ac,8530bd7b
0003,13625927,1697a9d8
0004,3a5be741,5439a130
0005,b61b1846,c57c369b
0006,1fe6b1b0,d9d57db0
0007,ca58ecc0,3d8ff616
0008,58282b6b,39044c72
0009,6dbf4954,b0a4aaeb
0010,6e041de6,a5debeaf
0011,24076025,eb0cf98e
0012,46100d46,32d05034
0013,52f85b64,dbb8e4fb
0014,6ef05339,a7926ba6
0015,aca5099b,16f91258
0016,27ee1410,da7edf52
0017,a4b8f43a,7545f0e1
0018,195aa8cb,b56a3244
0019,dd574014,3d03354a
0020,6eaa608c,0a87a017
0021,876cca79,3891ca7c
0022,32ad53c9,975c1208
0023,8fd3a232,f58acb5d
0024,6aa9987f,317ad2df
0025,c7957649,36d272dd
0026,fa6bf284,08f868aa
0027,9d832b49,ed741d15
0028,65bfae75,cab124c9
0029,49a8b4d5,5c96a04a
0030,d084578a,9be71fd1
0031,9bbce241,d121d9a9
0032,08702803,5c0b3b00
0033,18f69012,f5924da9
0034,73f11022,439b6818
0035,3740c96d,eb63ac37
0036,649e872f,17e66471
0037,14fdd005,db9f21d1
0038,4d605fcb,e394cf5b
0039,83df5b9c,9d933930
0040,51ce68b4,80611820
0041,bc7971fa,02c9502f
0042,655a6fa6,f4c0e4cb
0043,09c60a9c,d662a999
0044,34062b95,870f1362
0045,68d0eec2,8d9e986f
0046,14edb1ee,5f907533
0047,189fe173,b195d58e
0048,25b08960,725e6a2e
0049,481ce430,f4c5308a
0050,205c8677,95783ee5
0051,05c42698,36d6e143
0052,b0894d6d,fa6e5843
0053,51541726,3c27ab05
0054,a18cb0f2,961af875
0055,c1a8e0a3,b36f7351
0056,94ca8b58,e2411cb9
0057,6a279099,2cba1597
0058,4586a2d5,4dd3d52c
0059,98c78bda,6eec9e9e
0060,226f9d22,114613bc
0061,096c3a00,eb3523d7
0062,9b9863ed,f50b78bc
0063,5fcdc1ff,198057cf
0064,72f72439,3060f4c5
0065,72628bb7,e94f7b0a
0066,60f44d66,aa9ff703
0067,8ee1c493,1490e16c
0068,242d154c,5397e282
0069,7f885ff4,6ad12b79
0070,73c6e9e2,eda108ed
0071,9ca351b6,202ba843
0072,21fa09cf,22e980f3
0073,3bec3779,787d3209
0074,7cf2ece4,8e9db151
0075,31e05e1b,ba00f6c0
0076,68c407c2,298cd35c
0077,a8c3ab4e,c63276f6
0078,cbafd350,b7e80837
0079,a93b55c5,3c345679
0080,1b89d25f,fc001ff0
0081,87f7eb00,d95e41e0
0082,b198621c,681f8d85
0083,fb000c77,bedd2e83
0084,4e543a31,eb14fb7e
0085,3dac6b89,45c59669
0086,e54d2386,1f6461dd
0087,cb10a64f,95c4a486
0088,e689ce9c,10a42093
0089,b97a6bd5,8521c62d
0090,05d6de84,4449b6d4
0091,9376733f,a9e0fc2b
0092,32751f79,2edf4d13
0093,f58c50d9,d70ccf27
0094,12e1f222,716b997e
0095,edf8b86c,b977aa3f
0096,a62f1cec,628ddda0
0097,5e0f5155,87deac2f
0098,ef841c10,49d8c9c9
0099,a85074b5,ed2a6102
0100,9323eafc,c0f46b44
0101,e9a87ab7,08349dc2
0102,f853dedf,eae61a51
0103,2a265150,a411c262
0104,3687d5d2,50431029
0105,d0dd90ac,9ddd5516
0106,3df4dc06,15e77cdb
0107,ba968a30,c3cc734b
0108,361c636c,3b323626
0109,2c8e4a6d,b92bff80
0110,76e0c098,41e6560e
0111,497538d5,0142dbb1
0112,8ba612b4,87b9df52
0113,5b6ddab1,464e1ad5
0114,8666dd22,c5343306
0115,b7422c72,5ca9a5ae
0116,4db08dd6,40a0a3d6
0117,8b804147,bff7d1f1
0118,4736c67f,be1507ac
0119,735f83bf,ad0d4218
0120,0311ea6f,58957a04
0121,711c674f,c9137d41
0122,1d821527,5936eea3
0123,e3c7398b,93d754b0
0124,2fcafac3,d455be42
0125,f9ac15c4,7894e78f
0126,2c16db0a,228111c2
0127,84cb383f,b0146258
0128,12188906,254f19bb
0129,9c70bea3,3d3ba897
0130,f314718f,523e0d1e
0131,564d8019,f03a6820
0132,1c7b74e0,db20d06c
0133,1fe7a3b9,c4e09c4f
0134,8cf765f0,81a849b8
0135,2dbd8d2f,342bc90d
0136,6c48d43e,38cd1dee
0137,b7b84c44,95f78f3c
0138,3a134560,aec392e4
0139,e1cf1599,53d119a3
0140,fc4279f4,aebdf17b
0141,649eecf0,3def8cad
0142,e086878b,783b08ac
0143,4e49f001,5aa78348
0144,e60fabfe,5380882f
0145,475a8002,7c198f14
0146,cdb5b0b8,73315e87
0147,5ed9b196,aef23ffc
0148,69188d89,594dea63
0149,b9edd6a7,16d02d3e
0150,1c233300,162de42e
0151,dd8dde94,72503164
0152,bfbd833b,cb0681a3
0153,04b0353d,2326b8aa
0154,b0274ce1,b8e59083
0155,654ad3ea,e87e10fb
0156,d919bab6,2f9c8672
0157,0c44f357,c1d8b691
0158,c6fc1c4e,623c4168
0159,66476679,4a70daba
0160,4ea0b550,520b58d4
0161,beb03eee,bca5793d
0162,ef7944ed,dc19e894
0163,3676677f,e1a4b9f3
0164,fbdddf5e,1dc1bce8
0165,7b7ebcdb,f1ead6b5
0166,2a39c266,1373873a
0167,e264e7be,86df61b9
0168,1bcbbb70,297270cb
0169,ad7c3962,c270fed9
0170,db0299b8,354b775a
0171,1a5c3811,5e3fed33
0172,697d73c8,7bac553d
0173,a06f720f,a65418b1
0174,19143812,4d9146bf
0175,299935bd,6d8bee68
0176,15add857,d3b8ea62
0177,387433de,3c0adf13
0178,329cd164,c9c8d336
0179,6a30d2c3,f3434fa2
0180,e6ae9235,0e1d9650
0181,cea72681,705e9c8d
0182,8208ac6f,630b0218
0183,7d181108,dffe9132
0184,1df0dca4,ef616a32
0185,7c864369,5d8376bb
0186,7204ee7e,5781329e
0187,980e2140,be4c02cc
0188,5fe210bd,b7a6f463
0189,a01e5ad2,a088b288
0190,ea01bb3e,ebcfd3bb
0191,67880bb1,e85c4f5e
0192,cf4b36a6,c2d94fe0
0193,123b78c3,5af39e53
0194,d2b178fc,d1df949f
0195,9e9343c8,dcdb12a9
0196,28fac496,e8055092
0197,27640b18,7bc81e24
0198,1a071a43,62061d93
0199,fd1d386d,9f92329c
0200,17a9a007,6797ad33
0201,4cfa0a77,faa1dd4e
0202,bfb77cb7,617a09fc
0203,c4b024ba,594e9f34
0204,e3109377,ffd8d213
0205,180e58e9,9b66522a
0206,cd258019,c8e9a95b
0207,653659e9,28314bb4
0208,bd4ffa23,f53dff10
0209,e3c5068b,ad9daa5c
0210,be78da2d,988c610a
0211,fe5dc698,9559a162
0212,f71d7506,d3b92c1a
0213,0678c0bc,2f5ebee5
0214,535c26b5,168d3c8e
0215,5948b7a2,95bea964
0216,d3ff6f4a,3e29a15e
0217,d91b2ba3,29ceba14
0218,066ab4ba,075b7029
0219,37363395,9c731862
0220,26d584fe,887d5e3b
0221,87120269,a8593537
0222,c0a9569e,366dec70
0223,2a8f9b30,038e542b
0224,a543753a,b95b9eac
0225,a9a78070,40e705d4
0226,aa0984d3,1d6f84d1
0227,2690edc1,69c8b158
0228,25667a79,c6785ea4
0229,eb8bcd3e,61afc60f
0230,7e90bfa2,ce56db22
0231,8863081a,c24af351
0232,a565e867,add4dd9f
0233,b7050fa0,3fe98e06
0234,0b597d11,393f7400
0235,51c68a45,72872d16
0236,4593ab60,ee8be887
0237,1c6a287e,119abca2
0238,2c61f6a7,3ed9ce51
0239,ab28b2f9,3683f226
0240,fe7293d7,f9422767
0241,1fb3561b,e3eff3ec
0242,6c91911d,d85a05a7
0243,c4b42794,6bff56d6
0244,3ea441ce,f4130d34
0245,2c51df07,7ce940ed
0246,f637e926,1e4d53ec
0247,102ed3af,deb7ff1e
0248,ff1e12a7,5e8c7514
0249,1db2fbbb,ec880905
0250,25b120bf,71a2ba40
0251,894ec484,d03446b2
0252,15d6e33b,f551aca2
0253,7a9c5762,656ed78e
0254,70be7077,1af10b75
0255,74612595,aacea1fd
0256,de5c6bcf,34faa038
0257,21501d77,26b92d76
0258,be6e3028,05c17022
0259,0ff1a466,1c2337a9
0260,dbb9f619,8832b69b
0261,04ef5fce,8b59be35
0262,b2f611d4,0b4cbce1
0263,1c31f61a,a9ebfb6e
0264,822502ff,0f5b5ee5
0265,1a150f50,c517a2ad
0266,f0fdc7da,7692bdd2
0267,45887644,d6affac3
0268,a4f1c387,d01faadf
0269,addcd4eb,11e7843e
0270,067b873b,dab5a14c
0271,c17715ee,06031aa8
0272,737086ce,949861cc
0273,0435df14,3a6cd798
0274,e758dbc7,3f2c1c22
0275,ace04cf9,a37c1f49
0276,4a108d3e,e10a7aa9
0277,cc217c53,bc4851fc
0278,0ed9dd72,6f7cfd95
0279,9803aa37,78dbdbe9
0280,6c9d82e3,c8bf22d4
0281,e92d3e10,cd855b89
0282,addb7577,f4b013cb
0283,7717a121,74610631
0284,8a4b5dfd,2718423e
0285,2ab52929,94afe8fd
0286,f9d8753f,c4de691a
0287,de6fdb6a,3bac6eef
0288,4f1a270b,f597df6f
0289,ee6fe1f8,bd70f792
0290,a52282be,3b0db987
0291,bacdba38,e6ae3453
0292,25eb80de,47e1e0b0
0293,32289199,c87214ad
0294,6a50310c,1ced4175
0295,0fb42b15,a9b2ddec
0296,4505fec2,44b55115
0297,9858de16,826bc6e1
0298,e427b183,83ab972c
0299,4f9787c1,5c651891
0300,031bd38e,73d38a8a
0301,1bccc523,0f3c25b1
0302,5f44b99a,75ad39d8
0303,10fdb4c1,3b468560
0304,f21aed8c,e326a760
0305,fa6ecead,c82c9f98
0306,b5be9a50,c1cedee7
0307,5ace366c,a35cb872
0308,c00a7aa4,a8ba354f
0309,666337a1,2dc6265d
0310,7b1b67cd,715ba6e4
0311,d6abbc15,e9006ae4
0312,68dc4de0,c9f4032b
0313,6068a2c4,e33dba32
0314,c35c683a,5365243f
0315,c78f3c49,d507f62f
0316,7fbf7ccb,7e89e0d8
0317,5e629c28,28a3f543
