customer_id,location,age,registration_date
1,arkansas,32,2018-09-16
2,texas,23,2019-01-26
3,illinois,59,2018-03-07
4,pennsylvania,39,2018-07-31
5,new york,71,2018-12-24
6,arizona,85,2021-06-14
7,iowa,34,2019-05-30
8,alabama,59,2020-08-05
9,california,50,2020-06-14
10,new jersey,60,2020-04-27
11,new york,85,2019-12-11
12,washington,44,2021-09-22
13,new york,69,2018-06-01
14,california,29,2019-03-28
15,alabama,50,2020-07-27
16,maryland,41,2020-06-22
17,ohio,38,2018-03-29
18,florida,72,2019-09-30
19,florida,23,2018-11-16
20,kentucky,77,2018-04-04
21,ohio,21,2021-08-22
22,florida,40,2019-02-03
23,virginia,28,2020-11-09
24,texas,57,2018-07-01
25,rhode island,76,2021-03-11
26,ohio,63,2019-05-07
27,louisiana,42,2021-02-18
28,indiana,26,2020-02-17
29,tennessee,21,2021-04-13
30,oklahoma,79,2018-05-22
31,south dakota,61,2018-06-17
32,texas,52,2020-04-28
33,arizona,23,2021-03-28
34,arkansas,33,2018-06-20
35,tennessee,63,2019-01-22
36,new jersey,48,2021-09-08
37,arizona,80,2020-07-13
38,wisconsin,47,2020-09-14
39,alabama,41,2020-11-25
40,texas,56,2018-09-24
41,mississippi,20,2020-09-10
42,connecticut,34,2021-08-23
43,south dakota,21,2020-11-08
44,wisconsin,38,2020-03-17
45,virginia,29,2020-10-13
46,south carolina,27,2020-09-03
47,california,38,2021-03-09
48,massachusetts,40,2021-04-28
49,kentucky,20,2022-04-15
50,new york,71,2019-05-20
51,texas,61,2020-03-19
52,new mexico,59,2022-05-04
53,texas,18,2020-07-28
54,pennsylvania,28,2020-03-30
55,new jersey,30,2020-10-31
56,minnesota,30,2020-01-26
57,florida,37,2020-03-12
58,michigan,68,2020-01-09
59,pennsylvania,47,2019-09-03
60,new york,88,2020-09-21
61,massachusetts,58,2022-12-12
62,minnesota,81,2020-09-26
63,texas,47,2021-04-05
64,georgia,61,2019-11-30
65,michigan,35,2018-12-18
66,kentucky,75,2020-09-14
67,colorado,77,2022-01-26
68,new york,32,2020-09-09
69,texas,71,2021-09-29
70,alabama,36,2021-08-02
71,california,86,2021-11-04
72,texas,54,2019-04-18
73,minnesota,51,2022-05-12
74,california,19,2018-12-23
75,kentucky,60,2020-08-27
76,north carolina,43,2018-09-08
77,kentucky,30,2021-07-20
78,florida,89,2020-10-17
79,florida,32,2020-05-19
80,new york,25,2019-03-01
81,nevada,46,2021-01-03
82,minnesota,34,2020-06-02
83,new jersey,37,2021-06-23
84,california,83,2018-10-15
85,kansas,80,2019-06-13
86,oregon,68,2020-05-03
87,massachusetts,27,2018-05-25
88,texas,85,2020-05-28
89,missouri,43,2022-01-28
90,texas,53,2020-11-06
91,illinois,41,2020-03-23
92,north carolina,68,2020-04-08
93,arizona,18,2021-03-25
94,pennsylvania,44,2022-05-30
95,illinois,89,2020-12-30
96,california,89,2020-06-16
97,washington,70,2020-10-08
98,illinois,75,2020-07-04
99,michigan,82,2019-09-08
100,arizona,42,2021-11-27
101,new jersey,70,2021-04-02
