purchase_id,purchase_type
00147657,Renewal
00179305,Upgrade
0019a62d,Renewal
005b6445,Renewal
008763e6,Upgrade
009f4b77,Upgrade
00b97a8e,New
00d64dee,Renewal
01020a88,New
0142dbb1,Upgrade
0173d421,Upgrade
01bf08c5,New
01ddffeb,New
01f961fb,Upgrade
02246f33,New
023a0e8d,Upgrade
0290d1f8,Renewal
02c9502f,New
031270a1,Upgrade
0318f22d,Upgrade
0366f077,Upgrade
038e542b,New
03c0f89a,New
03c4184e,Renewal
03d5d3c7,Upgrade
0427e6aa,New
042c81bb,New
0444ad2e,Upgrade
045d70de,New
049d5918,New
04e843db,New
050cb273,New
05846943,New
05b6a01d,New
05c17022,New
05cd3468,Renewal
05d1e0ba,Renewal
05dc8d89,New
06031aa8,Upgrade
0627d653,Renewal
063aa699,Upgrade
06989840,Upgrade
06a3491b,Upgrade
06dbf71e,New
06dffe3f,Renewal
06f493df,New
07143cd1,Upgrade
072010bd,Upgrade
075b7029,Upgrade
0779cc83,New
079366c3,Upgrade
07c5354a,New
07c68953,Upgrade
07dd1087,New
07fd9adb,New
08167c2b,New
08349dc2,New
086c741d,New
08b4d877,New
08b64645,New
08cccbb8,New
08d012e3,New
08f868aa,New
08fd6dfa,Renewal
08fdbda4,Renewal
090b7b25,New
090e69a9,New
09783017,New
09a00647,Upgrade
09d3ab58,New
0a171789,Renewal
0a3c54a8,New
0a42cbb9,New
0a430174,Upgrade
0a87a017,New
0a94c00d,New
0ac85299,New
0adf3103,New
0b15ed30,New
0b4cbce1,Renewal
0bab0f97,Upgrade
0bc57031,Upgrade
0c009e0e,Upgrade
0c16ed33,New
0d36177e,New
0da6b1b9,New
0dbf906b,New
0dd3ad5e,Renewal
0deebaee,Upgrade
0e1d9650,New
0e5cdf7e,Upgrade
0e5f6bfc,New
0e7fa53a,Upgrade
0f15eab9,Renewal
0f1ed81e,Renewal
0f3c25b1,New
0f5b5ee5,New
0fbf1447,Upgrade
0fc236bb,New
0ffa2e82,Upgrade
10031620,New
10097d8e,Renewal
104fffea,Upgrade
106a02cd,New
10a42093,Renewal
10f4fcb4,New
1132f10e,New
114583ae,Renewal
114613bc,New
1147babb,Upgrade
119abca2,New
11e4b1f5,Upgrade
11e7843e,New
11ef8324,New
12004b60,Upgrade
122f7275,Upgrade
12889f4c,Upgrade
128eb10a,New
129e0506,New
130e1440,New
131f1586,New
132776ae,New
132a08cd,Upgrade
132e125e,Renewal
136831e5,Upgrade
136f8241,New
1373873a,Upgrade
13b8f022,Renewal
13bccffa,Upgrade
13be1731,Renewal
13d10c39,Upgrade
13f244f5,Upgrade
1402728f,New
1446f78a,Renewal
145a9bc2,New
1490e16c,New
14e9b798,New
14f9cce2,Renewal
155a130a,Renewal
15984fca,Upgrade
15c6f909,New
15e47848,New
15e77cdb,Upgrade
15ea654f,Upgrade
1608536a,Upgrade
162de42e,New
1675d585,New
168d3c8e,Upgrade
1697a9d8,Upgrade
16b3c5e8,New
16d02d3e,Upgrade
16f91258,Upgrade
17897989,New
17a44853,New
17c511f0,Upgrade
17e3d322,New
17e66471,Upgrade
18028d87,Renewal
1803d706,New
186d9fff,Upgrade
18b0df50,New
18bd6e09,Upgrade
18fad7e6,New
190e556f,Upgrade
1921ce6f,New
19351eac,Renewal
1947df02,Upgrade
198057cf,New
19ba6e37,Upgrade
19c1ba52,Upgrade
1a1fc196,Renewal
1a47573a,Upgrade
1a5dbcca,Renewal
1a9a6f3d,Upgrade
1aacd93d,New
1af10b75,New
1b16dcba,Upgrade
1b403529,New
1b486613,Renewal
1bbaf94c,Upgrade
1bbd39c0,New
1bc547dd,Renewal
1bd131f0,New
1c04f99e,New
1c2337a9,Renewal
1c254f0a,New
1c3a4a75,Renewal
1c4f8853,Upgrade
1c77e428,Upgrade
1c9169d0,Upgrade
1ced4175,Renewal
1ceddb1c,New
1d0ff763,New
1d4a56c5,New
1d6f84d1,Upgrade
1dc1bce8,Upgrade
1e0c1bf0,Upgrade
1e28c81f,New
1e3dde6d,New
1e4d53ec,Upgrade
1ecaee10,Upgrade
1ede6144,Renewal
1ef30a89,New
1f01f137,Upgrade
1f32745e,Renewal
1f357b4e,New
1f4bed93,New
1f6461dd,Upgrade
1f7dd22d,Renewal
1f837d8c,Upgrade
1fcded95,New
1fcea845,New
1fd972fd,New
1ff5ef92,New
202ba843,New
