customer_id,start_date
6,2022-10-09
11,2022-11-14
18,2022-12-29
24,2022-06-11
26,2022-09-02
29,2022-12-14
30,2022-08-06
40,2022-08-14
45,2023-03-02
49,2023-03-25
51,2022-09-21
53,2022-06-26
54,2022-05-26
57,2022-09-28
61,2023-01-17
64,2022-12-15
68,2023-02-09
71,2022-07-24
73,2022-06-17
76,2022-11-01
79,2022-10-13
80,2023-03-11
83,2022-11-10
86,2023-01-26
94,2022-07-05
99,2022-05-17
100,2022-05-08
105,2022-06-08
115,2022-05-15
117,2022-08-31
121,2022-09-10
129,2022-07-02
130,2022-07-21
133,2022-06-25
139,2022-11-10
148,2022-09-18
150,2022-05-20
160,2023-02-04
162,2022-10-15
178,2022-12-03
180,2022-11-22
184,2023-03-03
187,2022-04-23
196,2022-05-25
197,2022-12-09
198,2023-01-24
199,2022-07-29
200,2022-08-04
201,2022-06-30
202,2023-01-10
203,2023-03-19
211,2023-01-20
216,2022-05-23
217,2023-02-08
221,2022-08-10
227,2022-07-02
228,2023-01-28
230,2022-06-06
232,2023-01-14
233,2022-09-27
240,2023-03-18
242,2022-10-11
254,2022-10-09
257,2022-12-21
260,2022-10-05
264,2022-06-15
266,2022-12-21
270,2022-10-10
271,2022-07-23
279,2022-07-30
287,2023-01-16
289,2023-01-20
299,2022-05-30
312,2023-01-10
315,2022-10-20
319,2022-05-10
320,2022-09-01
326,2022-12-07
327,2022-10-08
335,2022-09-13
336,2022-08-04
339,2022-05-18
345,2022-12-30
358,2022-11-21
359,2022-11-06
361,2023-01-30
365,2022-10-15
366,2022-04-20
372,2022-08-17
378,2023-01-19
381,2023-02-23
383,2022-12-18
384,2023-01-23
387,2022-06-18
391,2022-11-26
392,2022-07-26
393,2022-08-27
395,2022-10-20
396,2023-03-15
398,2023-03-05
405,2023-03-20
413,2023-04-02
416,2022-07-18
417,2022-06-21
420,2022-12-04
428,2022-12-02
429,2023-02-05
433,2022-07-24
435,2022-07-11
443,2022-05-26
448,2023-01-07
453,2023-01-27
464,2023-01-02
465,2022-04-28
471,2022-10-15
473,2022-09-18
477,2022-09-18
481,2022-08-25
486,2022-06-23
490,2023-01-26
491,2023-03-05
492,2022-11-11
495,2023-01-19
500,2022-07-13
503,2022-07-06
505,2022-12-19
506,2022-12-09
512,2022-09-19
515,2022-10-20
517,2022-09-05
522,2022-10-21
525,2023-02-20
526,2023-02-20
529,2023-01-28
530,2022-08-07
534,2022-12-22
539,2023-01-12
548,2022-08-04
550,2022-08-21
566,2022-08-31
568,2022-09-01
572,2023-02-07
573,2023-03-27
581,2023-02-21
597,2022-05-18
604,2022-12-10
605,2022-05-27
606,2022-07-20
613,2022-06-15
615,2022-04-28
617,2022-08-05
618,2022-05-31
619,2022-07-10
621,2022-11-21
624,2022-11-16
631,2022-09-25
633,2022-12-24
636,2022-07-24
645,2022-06-27
649,2023-01-31
655,2022-06-29
656,2023-04-06
658,2022-12-14
660,2023-01-10
673,2022-12-04
677,2022-04-21
681,2023-04-07
682,2022-12-01
683,2022-06-29
